Name,Metro/Rural,Metro Pole,Total Population,Commuter %,Total Commuters,Solo Commuter %,Solo Commuters,Carpooler %,Carpoolers,Public Transit %,Public Transit,Walking %,Walking,Other Transit %,Other Transit,Latitude,Longitude
"Bates County, Missouri",Metro,Kansas City,16513.0,43.135711257796885,7123.0,74.40685104590762,5300.0,13.014179418784218,927.0,0.6598343394637091,47.0,3.6922644952969255,263.0,0.954653937947494,68.0,38.3216754,-94.315422
"Caldwell County, Missouri",Metro,Kansas City,9057.0,41.316109086894116,3742.0,84.12613575628006,3148.0,7.856761090326028,294.0,0.053447354355959376,2.0,1.8973810796365576,71.0,0.7482629609834314,28.0,39.6660775,-93.9878427
"Cass County, Missouri",Metro,Kansas City,101324.0,47.774466069243225,48407.0,84.06428822277769,40693.0,9.446980808560745,4573.0,0.15080463569318486,73.0,0.5619022042266614,272.0,0.9110252649410208,441.0,38.6574448,-94.315422
"Christian County, Missouri",Metro,Springfield,82053.0,45.97150622158848,37721.0,82.74701094880835,31213.0,9.893693168261713,3732.0,0.11929694334720713,45.0,0.8934015535113067,337.0,1.622438429522017,612.0,36.99764400000001,-93.1779659
"Clay County, Missouri",Metro,Kansas City,233135.0,50.98848306775045,118872.0,84.14428965610068,100024.0,8.454472037149202,10050.0,0.6208358570563295,738.0,1.250084124099872,1486.0,0.8866680126522647,1054.0,39.317618599999996,-94.47997600000001
"Clinton County, Missouri",Metro,Kansas City,20494.0,47.32604664779936,9699.0,82.10124755129394,7963.0,12.258995772760079,1189.0,0.639241158882359,62.0,1.11351685740798,108.0,0.9073100319620578,88.0,39.6481768,-94.47997600000001
"Dallas County, Missouri",Metro,Springfield,16508.0,34.58929004119215,5710.0,70.92819614711033,4050.0,18.598949211908934,1062.0,0.08756567425569177,5.0,2.119089316987741,121.0,3.274956217162872,187.0,37.6853001,-93.0175712
"Franklin County, Missouri",Metro,St. Louis,102063.0,47.468720300206726,48448.0,84.34816710700133,40865.0,9.699058784676351,4699.0,0.6398612945838837,310.0,1.7441380449141348,845.0,0.6419253632760898,311.0,38.395360100000005,-91.135302
"Greene County, Missouri",Metro,Springfield,285449.0,47.06304804010524,134341.0,82.05611094155917,110235.0,9.512360336754973,12779.0,0.6260188624470564,841.0,2.0701051801013834,2781.0,1.704617354344541,2290.0,37.3311215,-93.5003454
"Jackson County, Missouri",Metro,Kansas City,683643.0,47.77873831809878,326636.0,82.24690481147209,268648.0,7.902986811006747,25814.0,2.2437820693371213,7329.0,1.7824122264539122,5822.0,1.4248276368801969,4654.0,38.9914998,-94.315422
"Jefferson County, Missouri",Metro,St. Louis,222453.0,47.87797871910022,106506.0,86.12096971062662,91724.0,9.289617486338797,9894.0,0.2309729029350459,246.0,0.5689820291814546,606.0,0.42626706476630427,454.0,38.231030100000005,-90.5257823
"Lafayette County, Missouri",Metro,Kansas City,32789.0,45.52136387203025,14926.0,80.90580195631783,12076.0,10.30416722497655,1538.0,0.32158649336727857,48.0,2.016615302157309,301.0,1.7486265576845774,261.0,39.00312879999999,-93.9878427
"Lincoln County, Missouri",Metro,St. Louis,54286.0,43.755296024757776,23753.0,85.00820948932767,20192.0,9.897697132993727,2351.0,0.21049972635035571,50.0,0.3915294910116617,93.0,1.1661684839809707,277.0,39.0669568,-90.9820668
"Platte County, Missouri",Metro,Kansas City,94970.0,53.1767926713699,50502.0,84.25606906657163,42551.0,8.556096788246009,4321.0,0.8514514276662309,430.0,1.0989663775692051,555.0,0.5979961189655855,302.0,39.34756489999999,-94.76915859999998
"Polk County, Missouri",Metro,Springfield,31113.0,42.26850512647447,13151.0,78.48832788381111,10322.0,10.57714242262946,1391.0,0.12166375180594632,16.0,3.125237624515246,411.0,1.0189339213748003,134.0,37.6766686,-93.3388917
"Ray County, Missouri",Metro,Kansas City,22921.0,42.99986911565813,9856.0,84.45616883116884,8324.0,11.61728896103896,1145.0,0.4261363636363636,42.0,0.7508116883116883,74.0,0.4768668831168831,47.0,39.3354791,-93.9878427
"St. Charles County, Missouri",Metro,St. Louis,379856.0,52.74340802830547,200349.0,86.37727166095164,173056.0,6.081887106998288,12185.0,0.18367947930860648,368.0,0.8604984302392326,1724.0,0.9218912996820549,1847.0,38.7338885,-90.8294002
"St. Louis County, Missouri",Metro,St. Louis,1000560.0,48.5827936355641,486100.0,83.25200576013168,404688.0,6.693684427072617,32538.0,2.6360831104710964,12814.0,1.4632791606665296,7113.0,1.1261057395597611,5474.0,38.6103023,-90.4125181
"Warren County, Missouri",Metro,St. Louis,33290.0,43.274256533493535,14406.0,83.81230043037624,12074.0,10.460919061502153,1507.0,0.09024017770373456,13.0,1.3674857698181313,197.0,0.6108565875329723,88.0,38.731328399999995,-91.135302
"Webster County, Missouri",Metro,Springfield,37075.0,39.010114632501676,14463.0,81.06893452257485,11725.0,12.7912604577197,1850.0,0.4148516905206389,60.0,2.088086842287216,302.0,1.3620963838760975,197.0,37.3483339,-92.8577105
"St. Louis city, Missouri",Metro,St. Louis,316030.0,46.42818719741796,146727.0,71.60849741356397,105069.0,8.650759573902555,12693.0,9.833909232792877,14429.0,4.312089799423419,6327.0,2.0105365747272144,2950.0,38.6270025,-90.1994042
